image,text
data/processed/books/Screenshot 2026-07-03 032247.png,گلاب نہیں، بوگن ویلیا۔ 8 مارچ 1970 کی دوپہر ایک اطالوی ایئرلائن ال اٹالیا کی پرواز کراچی ایئرپورٹ پر اترتی ہے۔ سفید رنگت والے یورپی مسافر جو سیدھے پیرس سے آ رہے ہیں جہاز سے اترنا شروع کرتے ہیں۔ ان میں ایک تیس سالہ جرمن شاگردہ روتھ فاؤ بھی ہیں جو ہندوستان جاتے ہوئے یہاں عارضی طور پر رکتی ہیں۔ ان کے پاس مختصر سے سامان کے علاوہ وہ تین عہد ہیں جو انہوں نے پیرس میں ڈاٹرز آف دی ہارٹ آف میری نامی کانونٹ کی شاگردہ کے طور پر اپنے پہلے برس کے دوران کیے ہیں۔ ناداری، پاکبازی اور اطاعت کے عہد۔
data/processed/books/Screenshot 2026-07-03 032310.png,مٹی اور محبت۔ یہ کہانی ہے محبت کی، محبت مٹی سے بھی اور رشتے سے بھی۔ مقدمہ ہے اس حقیقت کا کہ محبت کسی کی میراث نہیں ہوتی۔ ڈھاکہ کے نواح میں دیا لے میگھنا آج بھی بہہ رہا ہے لیکن سن اکہتر کے بعد جنم لینے والی ایک نسل جو نصف صدی کا سفر طے کر چکی ہے اس تک میگھنا کے پانیوں کی روانی نہیں پہنچی۔ انہیں تو شاید یہ بھی معلوم نہیں کہ میگھنا ہے کیا۔ انہیں بس چند اسباق ازبر کرائے گئے؛ اول یہ کہ بنگالی بحیثیت قوم محب وطن نہیں تھے۔ دوم کہ پاک فوج نے اپنی اناالحق سے مشرقی پاکستان میں تہمار پھینکے اور سوم کہ پاکستانیوں کا واحد ذوالفقار علی بھٹو تھا جس نے نصف پاکستان بچایا بلکہ اسیران جنگ کو بھی واپس لایا۔
data/processed/books/Screenshot 2026-07-03 032327.png,روداد سفر۔ میں نے کب سے شعر کہنا شروع کیا، یہ اچھی طرح یاد نہیں مگر اتنا ضرور یاد ہے کہ پہلی غزل 1962ء میں کہی تھی اور 1963ء میں یہ غزل کسی اخبار کے ادبی صفحے پر شائع ہوئی تھی۔ پھر یہی غزل چند مہینوں کے بعد چٹاگانگ کے ایک ہفتہ وار پیام مشرق میں شائع ہوئی۔ اس وقت اس کے مدیر کاوش عمر تھے۔ شاعری سے پہلے شعر پڑھنے اور سننے کا شوق تھا اور یہ سلسلہ 1956ء سے پہلے شروع ہو چکا تھا۔ اچھا شعر سننا تو ایک طرح کا ذہنی سکون یا ذہنی مسرت ملتی تھی۔ خاص طور پر ایسے اشعار جن میں روزانہ اور زندگی ہوتی تھی وہ بہت پسند آتے تھے۔
data/processed/books/Screenshot 2026-07-03 032347.png,اے کے خان کا شمار بنگال کے مشہور صنعت کاروں اور رہنماؤں میں ہوتا تھا۔ انہوں نے غالباً 1969ء میں یہ تجویز پیش کی تھی کہ پاکستان میں بارہ صوبے بنا دیے جائیں؛ چار مشرقی پاکستان میں اور آٹھ مغربی پاکستان میں۔ اب سوچتا ہوں کہ اگر ایسا ہوتا تو مشرقی پاکستان علیحدہ نہیں ہوتا۔ آخر ہندوستان میں صوبے بن ہی رہے ہیں۔ مشرقی پنجاب کے تین صوبے بن گئے اور ابھی حال ہی میں بہار کے اندر دو صوبے بن گئے۔ ایک بہار اور دوسرا جھارکھنڈ۔ یہ بات ضمنی طور پر میں نے لکھ دی۔ یہاں پر اس بات کی وضاحت کر دوں کہ مذکورہ بالا اعلیٰ تعلیم یافتہ اساتذہ جزوقتی لیکچرر نہ تھے بلکہ مستقل سرکاری ملازم تھے۔
data/processed/books/Screenshot 2026-07-03 032419.png,لیکن زندگی اب بھی معنی سے محروم تھی۔ سارتر کا ہر شے کی بے معنویت کا نظریہ درست معلوم ہوتا تھا کہ کسی بھی چیز کا کوئی حقیقی وجود نہیں ہے۔ روولینڈ کے ساتھ اپنے تعلق کے کسی ناخوشگوار انجام سے خود کو بچانے کے لیے روتھ پوری کلینکل امتحان دینے کے بعد پیرس سے ماربرگ شہر منتقل ہو گئیں۔ ماربرگ کے یونیورسٹی ٹاؤن میں روتھ نے اپنی طب کی تعلیم جاری رکھی اور ساتھ ہی طلباء کے کیتھولک پیرش میں شمولیت بھی اختیار کر لی۔ حقیقت کی تلاش جاری رکھتے ہوئے روتھ زندگی، محبت اور موت کے بارے میں جستجو اور بحث مباحثے کے عمل سے گزرتی رہیں۔ وہ اکثر ایک اہل علم جیسوئٹ پادری فادر روچ کے پاس جایا کرتیں۔ وہ کتابیں پڑھا کرتیں اور دی لارڈ سے بے حد متاثر ہوئیں۔
data/processed/books/Screenshot 2026-07-03 032439.png,دور کہیں لگی ہے آگ، ہے یہ اسی کی روشنی ہاں، نہ فریب کھائیو، دوست یہ چاندنی نہیں بیٹھے اور ابھی ذرا، جلدی کہاں کی ہے پڑی تیز دید کی نظر سیر ابھی ہوئی نہیں شاہیں نہ دل گرفتہ ہو، نظم حیات ہے یہی غم سے جو بے نیاز ہو، ایسی کوئی خوشی نہیں
data/processed/books/Screenshot 2026-07-03 032517.png,زریخ روشن کو ہم تو شوق کی تحریر کہتے ہیں تمہاری ہر ادا کو حسن کی تفسیر کہتے ہیں خوشی سے خط پڑھا، غصے میں آئے، چاک کر ڈالا یہ ہے تحریر کا جادو، اسے تاثیر کہتے ہیں مقدر میں نہیں گر دولت دنیا تو کیا غم ہے سکون قلب کو ہم حاصل تحریر کہتے ہیں
data/processed/books/Screenshot 2026-07-03 033040.png,وہ اگر مثل آفتاب نہیں ان کے عارض کی یہ ضیا کیا ہے سرخی خون اہل دل کے سوا کف خوباں پہ یہ حنا کیا ہے جیب کے تنقید میرے شعروں پر اور محفل میں مرحبا کیا ہے
data/processed/books/Screenshot 2026-07-03 033047.png,مجھے پھر یاد اپنے عشق کا انجام آتا ہے رہ الفت میں کب کوئی کسی کے کام آتا ہے کہاں تک آزمائش، دل نہ توڑ اے سنگ دل اس کا جگر گھٹتا ہے تیری محفل میں اک ناکام آتا ہے وہ مجھ سے کب ملے، لیکن زمانے کا ستم دیکھو جب ان کا ذکر چھڑتا ہے تو میرا نام آتا ہے چپک آنکھیں مری بے نور آنکھیں، اے اجل رک جا
data/processed/books/Screenshot 2026-07-03 033055.png,بہت رسوا ہوئے ہم آج ان کی بزم میں آ کر نہ کوئی بات کرتا ہے نہ ہم تک جام آتا ہے جو غیرت مند ہے، آگے کسی کے جھک نہیں سکتا ہوس کا ہے جو بندہ بس وہ زیر دام آتا ہے نہ کوئی رابطہ اس سے، نہ کوئی واسطہ اس سے خیال اس کا مجھے کیوں اتنا صبح و شام آتا ہے وہ خود دل توڑتے ہیں کر کے پیمان وفا یارب یہ آخر مفت کا شاہیں پہ کیوں الزام آتا ہے
data/processed/books/Screenshot 2026-07-03 033104.png,ظرف اپنا رکھ بلند اور محفل رنداں میں آ مے بھی ہے، ساقی بھی ہے اور جشن کا سامان بھی ہے انقلاب آ جائے گا جس کی بدولت دوستو ہے یقین ہم کو، ہمارے پاس وہ سامان بھی ہے ہر تمنا، ہر خوشی کو دے کے مایوسی کا رنگ ہم سمجھ بیٹھے کہ عالم محفل گریاں بھی ہے
data/processed/books/Screenshot 2026-07-03 033111.png,آتش نمرود کو لو دے رہی ہے ایک طرف میری نظروں میں مگر وہ گلشن خنداں بھی ہے جستجو ہے میری فطرت، آرزو میرا شعار اپنی نظروں میں جہاں تو ابھی پنہاں بھی ہے خود نگاہیں ڈھونڈ لیں گی، لاکھ پردے میں رہے چشم بینا کے لیے راز جہاں عریاں بھی ہے راز اس میں کیا ہے شاہیں، مرد مومن سے یہ پوچھ
data/processed/books/Screenshot 2026-07-23 233626.png,"طاقتور شکاری کا المیہ (افغانہ) - طیب عزیز انکس ""طاقتور شکاری کا المیہ"" میرا پہلا افغانی مجموعہ ہے۔ میں نے کوشش کی ہے کہ قارئین تک اپنے ان خیالات کو پہنچان سکول جنوں نے میری ذہن میں پرورش پائی ہے۔ میریے یہ موضوعات پھچ کی طرح دماغ میں پلے بڑے اور عوان ہوئے میں۔ ان خیالات کی آبیاری مطالعہ تکین اور اس سامانتی سے ہوئی ہے۔ اہم اپنے موضوعات کو ایسے ہی محسوس کرتا ہوں جیسے کوئی انسان اپنے اور پہنچی غوشی یا غنی کو کھوس کرتا ہے۔ میں نے ان کے ساتھ وقت کرا رہا ہے۔ اب میں یہ ذمہ داری قارئین پر چھوڑتا ہوں کہ وہ ان افغانوں کا مطالعہ کس زاویہ لگاہے سے کرتے ہیں۔ کسی بھی جھنگے والے کی خواہش ہوتی ہے کہ اس کواچھا قاری میرا آئے جاتا کہ پڑے اور اُس کے فن کو جھنگے کی کوشش کرے۔ میں بھی اس کا خواہشہ ہوں کہ جھنگے اچھے قارئین میرا آئین اور میری افغانوں کو پڑھا اور کھجا جائے۔ تخلیں کار جب اپنی کوئی تخلیں پیش کرتا ہے تو اس کے پیچھے ایک ملا ذہنی سفر موجود ہوتا ہے۔ کسی بھی بات کو تسلیم یا رد کرنے سے پہلے علی کا کوشش کو ضروری پیش نظر رکھنا پاتے ہیں اور دیکھنا پاتے ہیں کہ تخلیں کار اس کو پیش کرنے کی جنارٹ کیوں کر رہا ہے۔ اس علی سے تحریر کو پہنچے اور جھنگے کا موقع ملتا ہے۔"
data/processed/books/Screenshot 2026-07-23 233639.png,قطر میں 7- آٹم مریم پناں میں سفر اٹا طویل تھا ہی میں ہو اٹی جدی منزل بھی آگئی تھی۔ کھا نے پینے کے بعد اس پہ ستی سی طاری ہوئی توہ وہیں مالی گو دیں سر رکھے سوئی تھی۔ دوبارہ اگلہ فہنے کے بچا نہ پھکلی تھی۔ “اٹھو بھی! اٹھنے آگیا ہے۔ انٹر...! اٹھنے فکر و...! یہاں گاڑی زیادہ دی رکتی نہیں ہے۔” فہنے جملت بھرے انداز میں سامان سہیں رہی تھی۔ ماما بھی اٹھنے ایک اٹھنے لگئیں۔ ایان نے ختت آٹا بٹ بھرے انداز میں کھڑکی سے باہر دیکھا۔ غیر مصروف سا اٹھنے تھا، جس کی عارت بھی خہنے اور یہدہ تھی۔ ایک داکا کھوکھے تھے جن میں ایک پان سکریٹ کا، تو دوسرا ان پکڑوں والا۔ تیبرے پہ غالبا پھل ہے جو نے تھے۔ پہنے ایک اٹھنے ہوئے مسافر بھی سکلی چنوں پہ ڈھلے تھے۔ الہیے ڈرن کے اندر ایک ہنگامہ پا تھا۔
data/processed/books/Screenshot 2026-07-23 233657.png,"انسان اس کی اہلیت یہ نہیں رکھتا۔ چھر کیا وجہ ہے کہ انسان اس تصور کو لے کر بیٹھا رہے، جب کھنکے کی وہ اہلیت یہ نہیں رکھتا۔ گزشتہ چند ہی دنوں میں دوڑے رویے سامنے آرے ہیں۔ جس کی لیہیں میں داغور، ادبی، سیا یہ رہنا اور پڑے مالک کے سہراہ اب اس صورت مال کو خزہول کرنے کے بارے میں سوچ رہے ہیں، ذمبہ اور سیاست آئے سامنے آگے ہیں۔ ہی اعلان جگہ ہے۔ دنيا بھر کے سیاست و اہل کا کہنا ہے، ہم ذمبہی تختہ اور تصورات کا احترام کرتے ہیں۔ اب دنيا میں امن امان برقرار رکھنے کا ہر اہم دہلہ پوری دنیا کو درپیش ہے۔ ہر طرف ذمبہ اور نہا کا اکار شروع ہو گیا ہے۔ لوگ اس پر مختلف سوال کر رہے ہیں۔ ""دنيا کے تمام ذمبہ، نہا کا تصور رکھتے ہیں، وہ اس پر بھی یقین رکھتے ہیں کہہ نہا نے انسان سے کلام کیا ہے۔"""
data/processed/books/Screenshot 2026-07-23 233707.png,قطر میں 21- شہد دل - اُمّ مریم امام نے تھوٹیش سے دس کے بند سے عہد کرتی کالک کی سونیوں کو دیکھا۔ گاؤں میں اٹنی رات کو لکھنا شروع سے غالب نہیں ہوا کرتا تھا۔ یہ بات اب وہ بھی جان گئی تھیں۔ “اش اوکے...! میں نے آؤں گا۔” اس نے جواباً نرمی سے کہا تھا۔ امام ایک دم مغون نظر آئے لیکھیں۔ جبکہ ایامن کو خواہ جھاہ غصہ آیا۔ “اشعریا عاقب کو ساتھے جاتا پڑا۔!“ تاؤمی نے تاکید کی تھی۔ اس نے سر کو اہمات میں بال دیا۔ “میں چلتا ہوں۔“ عاقب اسی پل اُٹھکر کھڑا ہوا۔
data/processed/books/Screenshot 2026-07-23 233804.png,"قطر نمبر 11 - زیب کی زن - کھیل ادمح جہاں شکوت نائم ہستپال کی پارلنگ میں کھڑا ہوا، شرار کھی اپنی کار میں پیشہ بات اور کھی ہے لہیں سے ادراہ آدم ادراہ نے سے اے عزت نے منع کر دیا تھا۔ کوئی ڈیزھ گھنڈہ بعد عزت اے اپنی طرف آتی ہوئی دکھائی دی تو اُس کی جان میں جان آتی۔ عزت کے قریب آتے ہی ضرار نے یک لخت پوچھا: ""کیا کہا ڈاکٹروں نے... کوئی خطے والی بات تو نہیں ہے...؟"" عزت مسکراتے ہوئے کار کا دروازہ کھول کر اندر پیشگی۔ ضرار بھی جلدی سے ڈرائیوگ سیٹ پر پیشہ گیا۔ ""اس پر پڑھیں میں گی۔"" عزت نے بتایا۔ ضرار شدی پڑھے کی طرح کہنے لگا: ""ادب میں آپ کی ایک نہیں عوض گا۔ بس میں آپ کو باہر کے کر بارا ہوں۔"" ""ادب باہر کا ایک ہی مالک ہے ضرار صاحب! میں نے اُس مالک کے حضور عرضی پیش کر دی ہے! عزت نے بڑے سکون سے بتایا۔"""
data/processed/books/Screenshot 2026-07-23 233816.png,"""میں جی کے سب سے قریب ساتھی کا قائل ہے یہ۔ میاں جی سے آپ کو ذرا بھی محبت ہے تو اے چھوڑے گا۔"" عترت نے ایک لفظ پر زور دیتے ہوئے کہا۔ ""یہ یہ جی! میاں جی کے بڑے احسان میں مجھ پر اگر وہ نہ ہوتے تو آج میں SHO نہ ہو۔ آپ کے فکر ہو جائیں۔"" یہ یہ بول کر تھا تیار وہاں سے پلا گیا۔ چھرے میں اب ضرار اور عترت جی تھے۔ ضرار آں کو نے کی طرف دیکھ رہا تھا۔ ہاں میاں جی پھلے ہوئے تھے۔ وہ پتا ہوا ہاں گیا پھر زمین پر آئی کہہ کو ہاتھ لگا نے لگا ہاں پر میاں جی بجلوہ افروز تھے۔ ""آپ خمکیک تو میں نا...؟"" عترت نے فکر مندی سے پھچا۔ ضرار کیلپاتی ہوئی آواز میں اتنا ہی یہ بول پیا! ""وہ میاں جی!"" ""میں نے آپ کو خود نہیں پہنا تھا۔ جس دن ہم کہ مکرمہ سے مدینہ منورہ کے لیے لکھے تھے اُسی دن فہرکی نماز کے بعد میاں جی سمجھ میں ہی انتقال فرا گئے تھے۔ ""ضراری آکسھوں میں آٹو ہم آئے اس سے پہلے کہ وہ روہیا عترت نے اُے سہال ایا۔"
data/processed/books/Screenshot 2026-07-23 233843.png,ایک میریوں کچھ روشنی اے اور کچھ امدہ تیرا ...... شام کا وقت تھا، سورج غروب ہو نے کوتھا اور گہرے نیلے سندری دور تک پہلی ہوئی اہر میں آہستہ ساحل سے گنگل رہی تھیں۔ کچھ روشنی اور کچھ امدہ تیرے کا غم آلو دیکھوتے ...... جب پر طرف اداسی چھا جاتی ہے، جب لوگ دن پھر کے کشو راو رہنگا ہے سے تھیک ہا رکا پنے ممنوعی مکانوں میں جا چھتے ہیں۔ جب سڑکوں پر پھا گے دوڑھتے ہو جاتی ہے پہلی کے کھیے خاموش اور گھنٹیں سر چھکا گے کچھ سوچے رہتے ہیں۔ خاموش درخت سر چھکا گے چپ چاپ چپ چپے کسی آہستہ کے انتظار میں ہوں۔ اور ان سے دور سیاہ پہاڑ ہمیشہ کی طرح اپنے وجود کا احساس دلائے رہتے ہیں اور ان کے سروں پر سفید اور لیکھ سرخ ہا دل شاہید سورج کو الوداع کہہ رہے ہوں۔ ایک اور گہری رات ...... اور سندری کے باتی کا ہو ملسم شور......
data/processed/books/Screenshot 2026-07-23 233925.png,نیں سفر- وزیر آغا وزیر آغا اردو کے مشورہ نقاد دشا عہد اشاہیئہ گار-پیٹا 18 میں 1922ء۔ انتظام 8 ستمبر 2010 ابتدائی زندگی ڈاکٹر وزیر آغا کی پیٹا 18 میں 1922ء کو سر گودھا میں ہوتی تھی اور انہوں نے 1943ء میں گورمنٹ کالج لاہور سے معاشیات میں ایم اے کیا تھا۔ پہ اچھے ذہ کی گڑی انہوں نے پنجاب پیونٹر سے 1956ء میں سا لس کی۔ اپنی ادبی صحافت کا آغاز انہوں نے ادبی دنیا لاہور کے جوانب اڈیٹیٹیکی جیہت سے 1960ء میں کیا تھا چھر انہوں نے لاہور سے اپنا سم ماتی رسالہ ”اوران“ 1965ء میں شائع کرنا شروع کیا۔ جو 2003ء تک باقاعدگی سے شائع ہوتا رہا اور ان ہوں میں اس رسالے نے تو تھیں ادبی نسلوں کی آبیاری کی اوران نے منساہیں نو کے اہبار لگا دیے۔
data/processed/books/Screenshot 2026-07-23 233946.png,کرن کرن سورج - واصح علی واصح رات کی تاریکی میں دور سے نظر آئے والا پرچاغ روشنی تو سنجی دے سکتا، لیکن ایسی کیفیت مرتب کرتا ہے کہ مسافر ماہی سے نکل کر آمدیکٹ آپنچیا ہے۔ اور آمدی سے یقین کی منزل دوقدہ پر ہے۔ صاحب خیال کے پاس خیال ہے آواز و ہے الفاظ آتا ہے لیکن خیال کا اٹمار صحت الفاظ ہے۔ اکثر اوقات الفاظ خیال کا جہاں بن جاتے ہیں۔ اس لیے استعاء ہے کہ قاری کی لگاہ آس خیال پر بھی رہے ہو الفاظ میں موجود ہے اور آس خیال پر بھی جس کا الفاظ کے دامن میں سینما مجال تھا ہی اس کتاب کا مرکزی بکھتے ہے۔
data/processed/books/Screenshot 2026-07-23 233953.png,قطر میں 2 - کرن کرن سورج - واصح علی واصح پیش رئے پیش رئے سے مرادہ یہ نہیں کہ اس کتاب کی تصنیف کا مقصد بیان کیا جائے۔ کتاب اپنا مقصد خود ہی بیان کرتی ہے اور اس کتاب کو توکس دیکھ کتاب کہنا مناسب ہے۔ قاری ہی فیصد کرے گا۔ ذراصل یہ چند کہال یہں نشاط زوج کی، نہیں گنگنان طریقے سے پنا گیا اور نہ سے اصلاح احساس میرا آگا مکل ہے۔ یہ “فیض” ہے کسی لگا گا کا اور “فیض” میرا دعویٰ نہیں۔ صرف اثمار تعقیب ہے۔ ان صاحبان عال سے نہ کے تقرب سے “نرک” آرزو، “نرک” ہے نیازی۔ ہو کرہ جاتا ہے۔ صاحب عال کیا ہوتا ہے اس کا بیان مشکل ہے۔ عال نبذ و سلوک کی درمیانی عالت کا نام ہے۔ صاحب عال یک وقت سالک بھی ہے اور مجذوب بھی۔ وہ اپنے آپ کو حیات و کائنات کی وہ بھی سمجھتا ہے اور پیچھے بھی۔
data/processed/books/Screenshot 2026-07-23 234012.png,ذمگی تم ہو۔ مجھے طارق پیش لفظ میں “مجھے طارق” بہت ہی عام کی انسان ہوں یا ایک اپنے نام کی طرح۔۔ “مجھے” یعنی دح کرنے والی، تعریف کرنے والی۔۔ دوسروں کی سالیٹیوں کو سرائے والی، ان کی خوبیوں کا اعتراف کرنے والی۔۔ میریے نام میں اگر کچھ ناس ہے تو وہ ہے “طارق” (راتوں کو مجھنے والا... ) مجھے یوں لگتا ہے اللہ نے مجھے اس قدر نواز رکھا ہے تو اسی ایک لفظ کے صدقے۔۔ ورہن میں اس قابل تو نہ تھی۔۔ خود کو بے مایہ اور فقیر بنا نا صرف اس صورت میں اچھا ہے جب تم خود کو ندا کے حضور پیش کر رہے ہوں۔ اس فانی دنیا کے باسیوں کے مثابے میں اپنے آپ کو Degrade کرنا اور خود کا احساس کمتری میں مبتلا کر لینا میرے خیال میں مناسب نہیں۔۔ مگر حقیقت پہندی کا مثابہ ہمہاں لازم ہے۔۔
data/processed/books/Screenshot 2026-07-23 234022.png,فکر اقیان - ڈاکٹر غلیف عبدالحکیم اقبال کے افکار کا اساطہ کرنا اور اس کے ہر خیال اور ہر ثابت کے مضمارات کو کا حظہ پیش کرنا کسی ایک مصنف کا کام نہیں اور نہ ہی کوئی ایک تصنیف اس کا حق ادارہ کسی ہے پر ڈاکٹر غلیف عبدالحکیم کی کتاب اقبال کے افکار، خیال اور ثابت کے مضمارات کو سمجھے میں کافی سمجھے دے۔
data/processed/books/Screenshot 2026-07-23 234035.png,قطر نمبر 25 - فکر اقبال - ذاکر غلیف عبدا حکیم پانچاں باب اسالم... اقبال کی نظر میں زندہ و رندی کی نظم میں اقبال کے متعلق ایک مولوی صاحب نے اس خیال کا اثاثہ رکھا تھا: اس شخص کی ہم پر تو حقیقت نہیں کھلتی ہو گا یہ کسی اور ہی اسالم کا بانی مولوی صاحب کونشہ اس سے پیدا ہوا کہ اقبال اپنے بندیہ تختہ کوش اہم زبان کہنا تھا وہ عام راجئ العقیہہ ملاؤ اور فقہوں کے اندازے الگ تھا، اندازا کا نزالاپن اقبال کے اندر آکر تک قائم رہا، اس انوکھے پن کی وجہ سے وہ شروع ہی میں کہہ رہا تھا: زادہ گنگ نظر نے مجھے کا فرما
